No.;Time;Source;Destination;Protocol;Length;Info;;;Time 1;Time 2;Delay;Delay 1;Delay 2;Jitter
112641;316.072.835;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Application Data;;;316.072.835;316.086.904;14.069;14069;100099;86030
112653;316.086.904;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Application Data;;;316.086.904;316.187.003;100.099;100099;5492;-94607
112706;316.187.003;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Application Data;;;316.187.003;316.192.495;5.492;5492;4128;-1364
112718;316.192.495;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Application Data;;;316.192.495;316.196.623;4.128;4128;2884;-1244
112723;316.196.623;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Application Data;;;316.196.623;316.199.507;2.884;2884;84731;81847
112729;316.199.507;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Continuation Data;;;316.199.507;316.284.238;84.731;84731;318304;233573
112828;316.284.238;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Continuation Data;;;316.284.238;316.602.542;318.304;318304;1898191;1579887
112903;316.602.542;34.120.3.51;192.168.100.42;TLSv1.3;256;[TCP Previous segment not captured] , Continuation Data;;;316.602.542;318.500.733;1.898.191;1898191;8911;-1889280
113373;318.500.733;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Application Data;;;318.500.733;318.509.644;8.911;8911;9855;944
113391;318.509.644;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Application Data;;;318.509.644;318.519.499;9.855;9855;6539;-3316
113405;318.519.499;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Application Data;;;318.519.499;318.526.038;6.539;6539;20748;14209
113415;318.526.038;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Application Data;;;318.526.038;318.546.786;20.748;20748;6920;-13828
113466;318.546.786;34.120.3.51;192.168.100.42;TCP;1466;[TCP Previous segment not captured] 443  >  62299 [ACK] Seq=133726 Ack=2212 Win=77568 Len=1412;;;318.546.786;318.553.706;6.920;6920;3020;-3900
113481;318.553.706;34.120.3.51;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Continuation Data;;;318.553.706;318.556.726;3.020;3020;1038;-1982
113483;318.556.726;34.120.3.51;192.168.100.42;TCP;1466;[TCP Previous segment not captured] 443  >  62299 [ACK] Seq=145022 Ack=2212 Win=77568 Len=1412;;;318.556.726;318.557.764;1.038;1038;1314105;1313067
113485;318.557.764;34.120.3.51;192.168.100.42;TLSv1.3;570;[TCP Previous segment not captured] , Continuation Data;;;318.557.764;319.871.869;1.314.105;1314105;54236885;52922780
113810;319.871.869;216.239.38.120;192.168.100.42;TCP;60;[TCP Previous segment not captured] 443  >  62265 [ACK] Seq=5673 Ack=1456 Win=68864 Len=0;;;319.871.869;374.108.754;54.236.885;54236885;61638917;7402032
127643;374.108.754;34.117.237.239;192.168.100.42;TLSv1.3;128;[TCP Previous segment not captured] , Application Data, Application Data;;;374.108.754;435.747.671;61.638.917;61638917;1574324;-60064593
147583;435.747.671;34.120.3.51;192.168.100.42;TCP;66;[TCP Previous segment not captured] 443  >  62299 [ACK] Seq=148440 Ack=2329 Win=77568 Len=0 SLE=2290 SRE=2329;;;435.747.671;437.321.995;1.574.324;1574324;3810014;2235690
149766;437.321.995;142.250.4.119;192.168.100.42;TLSv1.3;85;[TCP Previous segment not captured] , Application Data;;;437.321.995;441.132.009;3.810.014;3810014;5437726;1627712
154168;441.132.009;216.239.38.120;192.168.100.42;TLSv1.3;85;[TCP Previous segment not captured] , Application Data;;;441.132.009;446.569.735;5.437.726;5437726;5293277;-144449
157535;446.569.735;142.250.4.119;192.168.100.42;TLSv1.3;85;[TCP Previous segment not captured] , Application Data;;;446.569.735;451.863.012;5.293.277;5293277;9274098;3980821
160527;451.863.012;142.251.12.113;192.168.100.42;TLSv1.3;85;[TCP Previous segment not captured] , Application Data;;;451.863.012;461.137.110;9.274.098;9274098;182007;-9092091
166457;461.137.110;118.98.109.81;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Continuation Data;;;461.137.110;461.319.117;182.007;182007;168115;-13892
166543;461.319.117;118.98.109.81;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Continuation Data;;;461.319.117;461.487.232;168.115;168115;934446;766331
166643;461.487.232;118.98.109.81;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Continuation Data;;;461.487.232;462.421.678;934.446;934446;14135143;13200697
166913;462.421.678;74.125.24.101;192.168.100.42;TLSv1.2;127;[TCP Previous segment not captured] , Application Data;;;462.421.678;476.556.821;14.135.143;14135143;49582678;35447535
175163;476.556.821;204.246.164.35;192.168.100.42;TCP;60;[TCP Previous segment not captured] 443  >  62322 [ACK] Seq=6600 Ack=1349 Win=69120 Len=0;;;476.556.821;526.139.499;49.582.678;49582678;31516478;-18066200
